"DATE","BALANCE"
"2021-02-03",386694437.855238
"2021-02-02",385532671.334744
"2021-02-01",395227978.148632
"2021-01-31",396579635.392827
"2021-01-30",396693538.14359
"2021-01-29",395926544.225032
"2021-01-28",382009444.630589
"2021-01-27",381517245.430902
"2021-01-26",382976467.472041
"2021-01-25",380294400.896202
"2021-01-24",379854255.355421
"2021-01-23",379898074.490921
"2021-01-22",379819656.190542
"2021-01-21",379487109.709834
"2021-01-20",380055365.652578
"2021-01-19",380097953.053503
"2021-01-18",379067230.963361
"2021-01-17",377779953.305586
"2021-01-16",378872281.497177
"2021-01-15",379939172.041096
"2021-01-14",375311211.735649
"2021-01-13",374843195.056727
"2021-01-12",373557048.123087
"2021-01-11",373132664.67106
"2021-01-10",374126239.086797
"2021-01-09",356805456.880291
"2021-01-08",341224374.538914
"2021-01-07",341339876.309467
"2021-01-06",341291671.378715
"2021-01-05",340139379.287188
"2021-01-04",337984318.466905
"2021-01-03",339508049.985727
"2021-01-02",338889897.431835
"2021-01-01",338895681.705902
"2020-12-31",339058902.348461
"2020-12-30",339174034.675932
"2020-12-29",338789522.581325
"2020-12-28",338672913.630464
"2020-12-27",336598821.604304
"2020-12-26",335533488.894997
"2020-12-25",337521882.178731
"2020-12-24",337165379.354555
"2020-12-23",337043637.325511
"2020-12-22",334544121.602058
"2020-12-21",334457426.340494
"2020-12-20",335301913.666276
"2020-12-19",334836914.233036
"2020-12-18",334438578.971375
"2020-12-17",318413010.183236
"2020-12-16",317120909.516469
"2020-12-15",313935014.369408
"2020-12-14",310240035.807658
"2020-12-13",311737219.873054
"2020-12-12",312616259.081519
"2020-12-11",315328496.020719
"2020-12-10",312484915.498688
"2020-12-09",313458135.66276
"2020-12-08",313414743.490978
"2020-12-07",310217540.753693
"2020-12-06",310057583.677599
"2020-12-05",309921705.375252
"2020-12-04",309800984.578373
"2020-12-03",309605714.662032
"2020-12-02",308397938.760858
"2020-12-01",308252752.098251
"2020-11-30",308158914.779994
"2020-11-29",307841904.156749
"2020-11-28",307950904.532765
"2020-11-27",307174549.186873
"2020-11-26",306060277.5486
"2020-11-25",305258446.527222
"2020-11-24",306013614.680485
"2020-11-23",297531739.135713
"2020-11-22",297661217.668166
"2020-11-21",297251939.587898
"2020-11-20",296713346.285951
"2020-11-19",295415254.81304
"2020-11-18",294202193.833983
"2020-11-17",293521708.881559
"2020-11-16",310335359.444665
"2020-11-15",309179499.373992
"2020-11-14",308662054.938993
"2020-11-13",309590102.687098
"2020-11-12",305451770.473998
"2020-11-11",304966352.58962
"2020-11-10",304722637.278263
"2020-11-09",300172889.760934
"2020-11-08",299313381.171097
"2020-11-07",302066052.902358
"2020-11-06",298755931.34074
"2020-11-05",293827963.188656
"2020-11-04",280357757.744783
"2020-11-03",277139740.715646
"2020-11-02",277640782.022466
"2020-11-01",275411657.829589
"2020-10-31",275443337.944242
"2020-10-30",273226055.88063
"2020-10-29",267922102.512809
"2020-10-28",267796092.741463
"2020-10-27",277584378.521534
"2020-10-26",243466634.970689
"2020-10-25",240611545.684202
"2020-10-24",235477735.771353
"2020-10-23",234368720.894182
"2020-10-22",229042205.101471
"2020-10-21",215524141.002059
"2020-10-20",195957770.382201
"2020-10-19",186532106.269875
"2020-10-18",177255932.248048
"2020-10-17",174464303.216289
"2020-10-16",172182674.235162
"2020-10-15",172093570.172962
"2020-10-14",162667255.249056
"2020-10-13",144478425.396831
"2020-10-12",129613837.142404
"2020-10-11",119884254.335152
"2020-10-10",116968237.021453
"2020-10-09",115656746.538883
